AICC	All Indian Congress Committee
AIML	All India Muslim League
AITUC	All India Trade Union Congress
CPI	CPI
GIP	Great Indian Peninsular
GOI	Government of India
HRA	Hindustan Republican Association
ICS	Indian Civil Service
INA	Indian National Alliance
INC	Indian National Congress
IRA	Indian Revolutionary Army
KPCC	Kerala Provincial Congress Committee
PCC	Provincial Congress Committee
RIN	Royal Indian Navy
SGPC	Shiromani Gurdwara Prabhandak Committee
TLA	Textile Labour Association
WPP	Workers' and Peasants' Parties
CSP	Congress Socialist Party
AISPC	All India States People's Conference
FICCI	Federation of Indian Chambers of Commerce and Industry
